DEB [20251118-15:05:30.413] thr=1   paramiko.transport: starting thread (server mode): 0x34542ba0
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: client lang: <none>
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: server lang: <none>
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: kex follows: False
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: Compression: none
DEB [20251130-22:50:32.083] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251130-22:50:32.085] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-22:50:32.087] thr=1   paramiko.transport: Switch to new keys ...
DEB [20251130-22:50:32.087] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-22:50:32.087] thr=1   paramiko.transport: Auth rejected (none).
DEB [20251130-22:50:40.081] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-22:50:40.082] thr=1   paramiko.transport: Auth granted (password).
DEB [20251130-22:50:40.082] thr=1   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-22:50:40.083] thr=1   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-22:50:40.083] thr=1   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251130-23:00:11.506] thr=1   paramiko.transport: starting thread (server mode): 0xcfc5a710
DEB [20251130-23:00:11.506] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-23:00:11.509] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: client lang: <none>
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: server lang: <none>
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: kex follows: False
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: Compression: none
DEB [20251130-23:00:11.509] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251130-23:00:11.512] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-23:00:11.517] thr=1   paramiko.transport: Switch to new keys ...
DEB [20251130-23:00:11.517] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-23:00:11.517] thr=1   paramiko.transport: Auth rejected (none).
DEB [20251130-23:01:04.836] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-23:01:04.836] thr=1   paramiko.transport: Auth granted (password).
DEB [20251130-23:01:04.842] thr=1   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-23:01:04.842] thr=1   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-23:01:04.842] thr=1   paramiko.transport: Secsh channel 0 (session) opened.
INF [20251130-23:07:07.251] thr=1   paramiko.transport: Disconnect (code 11): disconnected by user
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: starting thread (server mode): 0xcf8f43a0
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-23:07:33.500] thr=2   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: client lang: <none>
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: server lang: <none>
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: kex follows: False
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: === Key exchange agreements ===
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: Compression: none
DEB [20251130-23:07:33.500] thr=2   paramiko.transport: === End of kex handshake ===
DEB [20251130-23:07:33.506] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-23:07:33.510] thr=2   paramiko.transport: Switch to new keys ...
DEB [20251130-23:07:33.513] thr=2   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-23:07:33.513] thr=2   paramiko.transport: Auth rejected (none).
DEB [20251130-23:07:44.122] thr=2   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-23:07:44.122] thr=2   paramiko.transport: Auth granted (password).
DEB [20251130-23:07:44.122] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-23:07:44.122] thr=2   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-23:07:44.122] thr=2   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251130-23:19:15.061] thr=1   paramiko.transport: starting thread (server mode): 0x56f2a710
DEB [20251130-23:19:15.061] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-23:19:15.061] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-23:19:15.061] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: client lang: <none>
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: server lang: <none>
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: kex follows: False
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: Compression: none
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251130-23:19:15.073] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-23:19:15.080] thr=1   paramiko.transport: Switch to new keys ...
DEB [20251130-23:19:15.080] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-23:19:15.080] thr=1   paramiko.transport: Auth rejected (none).
DEB [20251130-23:19:25.473] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-23:19:25.473] thr=1   paramiko.transport: Auth granted (password).
DEB [20251130-23:19:25.473] thr=1   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-23:19:25.473] thr=1   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-23:19:25.473] thr=1   paramiko.transport: Secsh channel 0 (session) opened.
INF [20251130-23:22:50.966] thr=1   paramiko.transport: Disconnect (code 11): disconnected by user
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: starting thread (server mode): 0x55602200
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-23:26:12.941] thr=2   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: client lang: <none>
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: server lang: <none>
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: kex follows: False
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: === Key exchange agreements ===
DEB [20251130-23:26:12.941] thr=2   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-23:26:12.946] thr=2   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-23:26:12.946] thr=2   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-23:26:12.946] thr=2   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-23:26:12.946] thr=2   paramiko.transport: Compression: none
DEB [20251130-23:26:12.946] thr=2   paramiko.transport: === End of kex handshake ===
DEB [20251130-23:26:12.949] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-23:26:12.950] thr=2   paramiko.transport: Switch to new keys ...
DEB [20251130-23:26:12.950] thr=2   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-23:26:12.950] thr=2   paramiko.transport: Auth rejected (none).
DEB [20251130-23:26:17.863] thr=2   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-23:26:17.863] thr=2   paramiko.transport: Auth granted (password).
DEB [20251130-23:26:17.863] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-23:26:17.863] thr=2   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-23:26:17.863] thr=2   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251130-23:33:41.853] thr=1   paramiko.transport: starting thread (server mode): 0x5bf0a650
DEB [20251130-23:33:41.854] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-23:33:41.854] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-23:33:41.854] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: client lang: <none>
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: server lang: <none>
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: kex follows: False
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: Compression: none
DEB [20251130-23:33:41.855] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251130-23:33:41.857] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-23:33:41.860] thr=1   paramiko.transport: Switch to new keys ...
DEB [20251130-23:33:41.860] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-23:33:41.860] thr=1   paramiko.transport: Auth rejected (none).
DEB [20251130-23:33:49.626] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-23:33:49.626] thr=1   paramiko.transport: Auth granted (password).
DEB [20251130-23:33:49.627] thr=1   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-23:33:49.627] thr=1   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-23:33:49.627] thr=1   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251130-23:38:30.529] thr=1   paramiko.transport: starting thread (server mode): 0x37e8a650
DEB [20251130-23:38:30.530] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-23:38:30.530] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-23:38:30.530] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-23:38:30.531] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-23:38:30.531] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-23:38:30.531] thr=1   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-23:38:30.531] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:38:30.531] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-23:38:30.531] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
